ID_BAC,NOME,NOME_UNID_PLANEJAMENTO,perc_bairro_na_up
1,Esplendor,Mantiqueira/Sesc,100.0
2,São Damião,Jaqueline,99.61410592247884
3,Canaã,Jaqueline,97.95215684330223
4,Califórnia,Jaqueline,100.0
5,Letícia,Piratininga,71.87690880540536
6,Europa,Jardim Europa,84.6980634938714
7,Cenáculo,Jardim Europa,97.69807456362408
8,Satélite,Jaqueline,65.59888977923885
9,Paraúna,Piratininga,79.85241313517909
10,Leblon,Piratininga,100.0
11,da Lagoa,Céu Azul,53.695416324169656
12,Céu Azul,Céu Azul,86.79195418271001
13,Mangueiras,Céu Azul,99.95662712894567
14,Nova Pampulha,Garças/Braúnas,100.0
15,Xangri-lá,Garças/Braúnas,100.0
16,do Trevo,Garças/Braúnas,99.80609932117275
17,das Garças,Garças/Braúnas,96.67234486643869
18,Sinimbu,Copacabana,99.98475768923998
19,de Venda Nova,Venda Nova,99.74216023920326
20,Nossa Senhora Aparecida,São João Batista,100.0
21,Helena Antipoff,Santa Amélia,95.58820614540842
22,Monte Carmelo,Copacabana,99.99191913127555
23,Jardim Pampulha,Copacabana,98.94723827227502
24,Monte Castelo,Santa Amélia,98.11789251431927
25,Copacabana,Copacabana,76.31470848980214
26,Santa Branca,Santa Amélia,99.93248549559623
27,Itapoã,Santa Amélia,99.91884363058247
28,Marilene,Planalto,99.8966998725328
29,Campo Alegre,Planalto,99.83173481755904
30,Santo Inácio,Planalto,99.77893565688983
31,Planalto,Planalto,53.09645627474081
32,São Vicente,Santa Amélia,50.630744381039385
33,São Tomaz,São Bernardo,99.96097465105494
34,Atlântico,Pampulha,60.18327569474968
35,Aeroporto,Jaraguá,98.7363129776766
36,Heliópolis,São Bernardo,92.70092635841249
37,Floramar,Tupi/Floramar,94.34913155556458
38,Jardim Guanabara,Tupi/Floramar,71.2371138874523
39,Jardim Felicidade,Jardim Felicidade,98.92933472094093
40,Monte Azul,Isidoro Norte,96.57912770206794
41,Tupi,Furquim Werneck,51.40652706573704
42,Antônio Ribeiro de Abreu,Ribeiro de Abreu,72.01724175131233
43,Primeiro de Novembro,Primeiro de Maio,96.53739967229458
44,São Gonçalo,Primeiro de Maio,100.0
45,Tabelião Ferraz,Primeiro de Maio,100.0
46,Confisco,Confisco,99.88387483581556
47,da Lagoa,Sarandi,68.27225272219553
48,Itatiaia,Sarandi,97.3280079737512
49,dos Bandeirantes,Pampulha,98.97890322021982
51,Ouro Preto,Ouro Preto,89.71336074406732
52,São José,Pampulha,95.48300700800205
53,Jaraguá,Jaraguá,100.0
54,Vila Rica,Jaraguá,100.0
55,Liberdade,Jaraguá,91.27806806227949
56,Indaiá,Jaraguá,54.239819975362316
57,Santa Rosa,Jaraguá,100.0
58,Dona Clara,Jaraguá,94.4835984640631
59,Santa Maria,Primeiro de Maio,99.80150220284702
60,Primeiro de Maio,Primeiro de Maio,99.62356000621581
61,Primeiro de Maio,Primeiro de Maio,99.99240492487353
62,São Gabriel,Belmonte,100.0
63,Belmont,Belmonte,100.0
64,Dom Silvério,Belmonte,72.9626430568864
65,Nazaré,Belmonte,99.2027815615223
66,Maria,Gorduras,100.0
67,Vitória,Gorduras,99.95538859636147
68,Aarão Reis,São Paulo/Goiânia,54.389262346117164
69,São Paulo,São Paulo/Goiânia,99.38818026852049
70,São Marcos,São Paulo/Goiânia,100.0
71,São Paulo,São Paulo/Goiânia,100.0
