ID_AREAS_PRIORITARIAS_SBN_2022;AREA_M2;EXP_ALAG;EXP_DESL;EXP_INUN;EXP_ONDA;VUL_ALAG;VUL_DESL;VUL_INUN;VUL_ONDA;AC_ALAG;AC_DESL;AC_INUN;AC_ONDA;CON_AMB;CON_ANT;CON_TOT;SBN_ALAG;SBN_DESL;SBN_INUN;SBN_ONDA;GEOMETRIA
1;113352.6;1.85;0.0;0.0;2.55;1.9;;;1.0;1.88;;;1.78;1.25;1.67;1.46;1.67;;;1.62;MULTIPOLYGON (((611322.37 7794548.08, 611434.11 7794721.22, 611332.69 7794902.05, 611119.53 7794909.75, 611007.79 7794736.61, 611109.21 7794555.78, 611322.37 7794548.08)))
2;113353.5;1.8;0.0;0.0;2.4;1.85;;;1.8;1.83;;;2.1;1.25;0.0;0.63;1.23;;;1.37;MULTIPOLYGON (((611961.85 7794524.98, 612073.59 7794698.12, 611972.18 7794878.95, 611759.02 7794886.65, 611647.27 7794713.52, 611748.69 7794532.68, 611961.85 7794524.98)))
3;113355.64;1.8;0.0;0.0;2.65;1.55;;;1.35;1.68;;;2.0;1.25;1.67;1.46;1.57;;;1.73;MULTIPOLYGON (((611647.27 7794713.52, 611759.02 7794886.65, 611657.60 7795067.49, 611444.44 7795075.19, 611332.69 7794902.05, 611434.11 7794721.22, 611647.27 7794713.52)))
4;113345.26;1.7;0.0;0.0;2.65;1.65;;;1.0;1.67;;;1.83;1.25;1.67;1.46;1.57;;;1.65;MULTIPOLYGON (((611626.62 7794005.60, 611738.36 7794178.73, 611636.94 7794359.55, 611423.79 7794367.25, 611312.05 7794194.13, 611413.46 7794013.30, 611626.62 7794005.60)))
5;113379.79;1.6;0.0;0.0;2.8;0.45;;;1.25;1.03;;;2.03;1.25;0.0;0.63;0.83;;;1.33;MULTIPOLYGON (((610419.85 7796529.68, 610531.60 7796702.84, 610430.16 7796883.70, 610216.98 7796891.40, 610105.24 7796718.23, 610206.68 7796537.37, 610419.85 7796529.68)))
6;113380.7;2.6;0.0;0.0;2.55;0.95;;;2.05;1.78;;;2.3;0.0;1.67;0.84;1.31;;;1.57;MULTIPOLYGON (((611059.38 7796506.58, 611171.13 7796679.75, 611069.70 7796860.61, 610856.52 7796868.31, 610744.77 7796695.14, 610846.20 7796514.28, 611059.38 7796506.58)))
7;113392.31;1.85;0.0;0.0;3.8;2.75;;;2.3;2.3;;;3.05;1.25;1.67;1.46;1.88;;;2.26;MULTIPOLYGON (((610125.85 7797426.30, 610237.59 7797599.48, 610136.15 7797780.35, 609922.97 7797788.05, 609811.23 7797614.87, 609912.67 7797434.00, 610125.85 7797426.30)))
8;113394.45;1.45;0.0;0.0;3.65;2.9;;;2.7;2.17;;;3.18;1.25;0.0;0.63;1.4;;;1.91;MULTIPOLYGON (((609811.23 7797614.87, 609922.97 7797788.05, 609821.52 7797968.93, 609608.34 7797976.62, 609496.60 7797803.44, 609598.04 7797622.57, 609811.23 7797614.87)))
9;113395.35;1.7;0.0;0.0;4.15;2.7;;;2.35;2.2;;;3.25;1.25;0.0;0.63;1.42;;;1.94;MULTIPOLYGON (((610450.78 7797591.78, 610562.52 7797764.96, 610461.08 7797945.84, 610247.90 7797953.54, 610136.15 7797780.35, 610237.59 7797599.48, 610450.78 7797591.78)))
10;113397.49;1.9;0.0;0.0;3.95;3.0;;;2.6;2.45;;;3.28;1.25;0.0;0.63;1.54;;;1.95;MULTIPOLYGON (((610136.15 7797780.35, 610247.90 7797953.54, 610146.45 7798134.42, 609933.27 7798142.11, 609821.52 7797968.93, 609922.97 7797788.05, 610136.15 7797780.35)))
